Architecture,Embedding Dim,Window Size,Negative Samples,Vocab Size,Train Time (s),Avg NN Sim,Model File
CBOW,50,2,5,3364,0.1,0.994,models/CBOW_dim50_win2_neg5.model
CBOW,50,2,10,3364,0.11,0.9852,models/CBOW_dim50_win2_neg10.model
CBOW,50,2,15,3364,0.13,0.9809,models/CBOW_dim50_win2_neg15.model
CBOW,50,5,5,3364,0.09,0.994,models/CBOW_dim50_win5_neg5.model
CBOW,50,5,10,3364,0.11,0.9861,models/CBOW_dim50_win5_neg10.model
CBOW,50,5,15,3364,0.13,0.9826,models/CBOW_dim50_win5_neg15.model
CBOW,50,10,5,3364,0.1,0.9918,models/CBOW_dim50_win10_neg5.model
CBOW,50,10,10,3364,0.12,0.9845,models/CBOW_dim50_win10_neg10.model
CBOW,50,10,15,3364,0.14,0.9813,models/CBOW_dim50_win10_neg15.model
CBOW,100,2,5,3364,0.1,0.9964,models/CBOW_dim100_win2_neg5.model
CBOW,100,2,10,3364,0.12,0.9901,models/CBOW_dim100_win2_neg10.model
CBOW,100,2,15,3364,0.15,0.9858,models/CBOW_dim100_win2_neg15.model
CBOW,100,5,5,3364,0.11,0.9961,models/CBOW_dim100_win5_neg5.model
CBOW,100,5,10,3364,0.13,0.9895,models/CBOW_dim100_win5_neg10.model
CBOW,100,5,15,3364,0.16,0.9863,models/CBOW_dim100_win5_neg15.model
CBOW,100,10,5,3364,0.11,0.9941,models/CBOW_dim100_win10_neg5.model
CBOW,100,10,10,3364,0.14,0.9878,models/CBOW_dim100_win10_neg10.model
CBOW,100,10,15,3364,0.16,0.985,models/CBOW_dim100_win10_neg15.model
CBOW,200,2,5,3364,0.14,0.9979,models/CBOW_dim200_win2_neg5.model
CBOW,200,2,10,3364,0.16,0.9934,models/CBOW_dim200_win2_neg10.model
CBOW,200,2,15,3364,0.2,0.9904,models/CBOW_dim200_win2_neg15.model
CBOW,200,5,5,3364,0.13,0.9975,models/CBOW_dim200_win5_neg5.model
CBOW,200,5,10,3364,0.19,0.9921,models/CBOW_dim200_win5_neg10.model
CBOW,200,5,15,3364,0.21,0.9894,models/CBOW_dim200_win5_neg15.model
CBOW,200,10,5,3364,0.14,0.9959,models/CBOW_dim200_win10_neg5.model
CBOW,200,10,10,3364,0.18,0.9901,models/CBOW_dim200_win10_neg10.model
CBOW,200,10,15,3364,0.22,0.9878,models/CBOW_dim200_win10_neg15.model
SkipGram,50,2,5,3364,0.12,0.9601,models/SkipGram_dim50_win2_neg5.model
SkipGram,50,2,10,3364,0.19,0.9466,models/SkipGram_dim50_win2_neg10.model
SkipGram,50,2,15,3364,0.24,0.9417,models/SkipGram_dim50_win2_neg15.model
SkipGram,50,5,5,3364,0.18,0.9267,models/SkipGram_dim50_win5_neg5.model
SkipGram,50,5,10,3364,0.28,0.9134,models/SkipGram_dim50_win5_neg10.model
SkipGram,50,5,15,3364,0.39,0.911,models/SkipGram_dim50_win5_neg15.model
SkipGram,50,10,5,3364,0.25,0.8861,models/SkipGram_dim50_win10_neg5.model
SkipGram,50,10,10,3364,0.41,0.876,models/SkipGram_dim50_win10_neg10.model
SkipGram,50,10,15,3364,0.58,0.8738,models/SkipGram_dim50_win10_neg15.model
SkipGram,100,2,5,3364,0.15,0.9677,models/SkipGram_dim100_win2_neg5.model
SkipGram,100,2,10,3364,0.22,0.9551,models/SkipGram_dim100_win2_neg10.model
SkipGram,100,2,15,3364,0.29,0.9499,models/SkipGram_dim100_win2_neg15.model
SkipGram,100,5,5,3364,0.23,0.9346,models/SkipGram_dim100_win5_neg5.model
SkipGram,100,5,10,3364,0.35,0.9199,models/SkipGram_dim100_win5_neg10.model
SkipGram,100,5,15,3364,0.48,0.9154,models/SkipGram_dim100_win5_neg15.model
SkipGram,100,10,5,3364,0.3,0.8915,models/SkipGram_dim100_win10_neg5.model
SkipGram,100,10,10,3364,0.51,0.8794,models/SkipGram_dim100_win10_neg10.model
SkipGram,100,10,15,3364,0.72,0.8749,models/SkipGram_dim100_win10_neg15.model
SkipGram,200,2,5,3364,0.19,0.9743,models/SkipGram_dim200_win2_neg5.model
SkipGram,200,2,10,3364,0.3,0.9631,models/SkipGram_dim200_win2_neg10.model
SkipGram,200,2,15,3364,0.41,0.9593,models/SkipGram_dim200_win2_neg15.model
SkipGram,200,5,5,3364,0.3,0.9436,models/SkipGram_dim200_win5_neg5.model
SkipGram,200,5,10,3364,0.5,0.9287,models/SkipGram_dim200_win5_neg10.model
SkipGram,200,5,15,3364,0.75,0.9245,models/SkipGram_dim200_win5_neg15.model
SkipGram,200,10,5,3364,0.44,0.899,models/SkipGram_dim200_win10_neg5.model
SkipGram,200,10,10,3364,0.77,0.8868,models/SkipGram_dim200_win10_neg10.model
SkipGram,200,10,15,3364,1.1,0.8825,models/SkipGram_dim200_win10_neg15.model
